Gene  Symbol	Gene Name	Gene Alias(es)	Chromosome location	Cancer syndrome(s)	Major associated tumor types	Mode of inheritance	Gene Start (bp)	Gene End (bp)	Reference (PubMed ID)	OMIM ID	Source	Gene_Classification	# of Likely Pathogenic Variant	# of Pathogenic Variant
RET	ret proto-oncogene	HSCR1	10q11.2 	"Multiple endocrine neoplasia 2A/2B 
Familial medullary thyroid carcinoma"	"Medullary thyroid cancer
Pheochromocytoma"	autosomal dominant	"43,572,475"	"43,625,799"	8099202	164761	Rahman 114 CPG	Oncogene	0	21
RHBDF2	rhomboid 5 homolog 2 (Drosophila)	RHBDL6	17q25.1		Esophageal cancer	autosomal dominant	"74,466,976"	"74,497,508"	22265016	614404	Rahman 114 CPG	Not classified	4	0
RMRP	RNA component of mitochondrial RNA processing endoribonuclease	"CHH, RMRPR"	9p13.3	Cartilage-hair hypoplasia syndrome	"Non-hodgkin lymphoma
Squamous carcinoma (bcc)
Leukemia"	autosomal recessive 	35657748	"35,658,015"	11207361	157660	Rahman 114 CPG	Not classified	0	0
RUNX1	runt-related transcription factor 1	"AML1, CBFA2"	21q22.3		Myeloid hematological malignancy (leukemia)	autosomal dominant	"36,160,098"	"37,357,047"	10508512	151385	Rahman 114 CPG	Oncogene	0	0
SBDS	Shwachman-Bodian-Diamond syndrome	SDS	7q11	Schwachman-Diamond syndrome	Myeloid hematological malignancy 	autosomal recessive 	"66,452,664"	"66,460,635"	12496757	607444	Rahman 114 CPG	Tumor Suppressor Gene	0	1
SDHA	"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"	"FP, PGL5, SDH1, SDH2, SDHF, CMD1GG"	5p15.33	Carney-Stratakis syndrome	"Paraganglioma
Pheochromocytoma
Gastrointestinal stromal tumor (GIST)"	"autosomal recessive 
autosomal dominant "	"218,356"	"256,815"	20484225	600857	Rahman 114 CPG	Not classified	3	6
SDHAF2	succinate dehydrogenase complex assembly factor 2	"SDH5, PGL2"	11q12.2	Familial paraganglioma-pheochromocytoma syndrome	"Paraganglioma
Pheochromocytoma"	autosomal dominant	"61,197,514"	"61,215,001"	19628817	613019	Rahman 114 CPG	Tumor Suppressor Gene	0	0
SDHB	"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"	SDH1	1p36.1-p35 	Familial paraganglioma-pheochromocytoma syndrome	"Paraganglioma
Pheochromocytoma
Renal cell cancer
"	autosomal dominant	"17,345,217"	"17,380,665"	11404820	185470	Rahman 114 CPG	Tumor Suppressor Gene	4	3
SDHC	"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa"	PGL3	1q21 	Familial paraganglioma-pheochromocytoma syndrome	"Paraganglioma
Pheochromocytoma
Gastrointestinal stromal tumor (GIST)"	autosomal dominant	"161,284,047"	"161,332,984"	11062460	602413	Rahman 114 CPG	Tumor Suppressor Gene	1	0
SDHD	"succinate dehydrogenase complex, subunit D, integral membrane protein"	PGL1	11q23 	Familial paraganglioma-pheochromocytoma syndrome	"Paraganglioma
Pheochromocytoma
Gastrointestinal stromal tumor (GIST)"	autosomal dominant	"111,957,497"	"111,990,353"	10657297	602690	Rahman 114 CPG	Tumor Suppressor Gene	2	2
SERPINA1	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
"	"PRO0684, A1A, A1AT, AAT, PI, PI1, PRO2275, alpha1AT"	14q32.13	Alpha1 antitrypsin defiency	Hepatocellular carcinoma	autosomal recessive 	"94,843,084"	"94,857,030"	"3485248
7045697"	107400	Rahman 114 CPG	Not classified	0	5
SH2D1A	SH2 domain containing 1A	"RP5-1052M9.3, DSHP, EBVS, IMD5, LYP, MTCP1, SAP, SAP/SH2D1A, XLP, XLPD
"	Xq25	Lymphoproliferative disease	Lymphoma	X-linked recessive	"123,480,194"	"123,507,005"	9771704	300490	Rahman 114 CPG	Not classified	0	0
SLC25A13	"solute carrier family 25 (aspartate/glutamate carrier), member 13
"	"ARALAR2, CITRIN, CTLN2"	7q21.3	Citrullinaemia	Hepatocellular carcinoma	autosomal recessive 	"95,749,532"	"95,951,459"	10369257	603859	Rahman 114 CPG	Not classified	0	0
SMAD4	SMAD family member 4	"MADH4, DPC4"	18q21.1 	Juvenile polyposis syndrome	Colorectal cancer	autosomal dominant	"48,494,410"	"48,611,415"	9582123	600993	Rahman 114 CPG	Tumor Suppressor Gene	0	1
SMARCA4	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4

"	"BAF190, BAF190A, BRG1, MRD16, RTPS2, SNF2, SNF2L4, SNF2LB, SWI2, hSNF2b
"	19p13.2	Rhabdoid predisposition syndrome	Rhabdoid tumor	autosomal dominant	"11,071,598"	"11,176,071"	20137775	603254	Rahman 114 CPG	Tumor Suppressor Gene	1	0
SMARCB1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"	"INI1, SNF5L1"	22q11 	Rhabdoid predisposition syndrome	"Rhabdoid tumor (renal, extra-renal)
Central primitive neuroectodermal tumor"	autosomal dominant	"24,129,150"	"24,176,703"	10521299	601607	Rahman 114 CPG	Tumor Suppressor Gene	1	0
SMARCE1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
"	BAF57	17q21.2		Mengingioma	autosomal dominant	"38,781,214"	"38,804,760"	23377182	603111	Rahman 114 CPG	Not classified	1	0
SOS1	son of sevenless homolog 1  (Drosophila)	"GF1, GGF1, GINGF, HGF, NS4"	2p22.1	Noonan syndrome	Rhabdomyosarcoma	autosomal dominant	"39,208,537"	"39,351,486"	17143285	182530	Rahman 114 CPG	Not classified	1	0
SRY	sex determining region Y	"TDF, TDY, SRXX1, SRXY1
"	Yp11.31		Gonadoblastoma	Y-linked	"2,654,896"	"2,655,740"	"2247149
2247151"	480000	Rahman 114 CPG	Not classified	0	0
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	"APRF, HIES
"	17q21.1	Hyper-immunoglobulin E syndrome	Lymphoma	autosomal dominant	"40,465,342"	"40,540,586"	17676033	102582	Rahman 114 CPG	Oncogene	0	0
STK11	serine/threonine kinase 11	LKB1	19p13.3	Peutz-Jeghers syndrome	"Colorectal cancer
Gastric cancer
Breast cancer
Sex cord-stromal tumor"	autosomal dominant	"1,205,798"	"1,228,434"	"9425897
9428765"	602216	Rahman 114 CPG	Tumor Suppressor Gene	1	0
SUFU	suppressor of fused homolog (Drosophila)	"SUFUH, SUFUXL"	10q24.32		"Medulloblastoma, meningioma
"	autosomal dominant	"104,263,744"	"104,393,292"	12068298	607035	Rahman 114 CPG	Tumor Suppressor Gene	0	0
TERT	telomerase reverse transcriptase	"CMM9, DKCA2, DKCB4, EST2, PFBMFT1, TCS1, TP2, TRT, hEST2, hTRT
"	5p15.33	Dyskeratosis congenita	"acute myeloid leukemia 
Squamous cell carcinoma (head + neck, anorectal) 
Melanoma "	"autosomal recessive 
autosomal dominant "	"1,253,262"	"1,295,184"	16247010	187270	Rahman 114 CPG	Oncogene	0	0
TGFBR1	"transforming growth factor, beta receptor 1

"	"RP11-96L7.1, AAT5, ACVRLK4, ALK-5, ALK5, LDS1A, LDS2A, MSSE, SKR4, TGFR-1
"	9q22.33	"Multiple self-healing squamous epithelioma (MSSE)
Ferguson-Smith syndrome"	Squamous cell carcinoma (skin)	autosomal dominant	"101,866,320"	"101,916,474"	21358634	190181	Rahman 114 CPG	Not classified	0	0
TMEM127	transmembrane protein 127		2q11.2		"Pheochromocytoma
"	autosomal dominant	"96,916,312"	"96,931,732"	20154675	613403	Rahman 114 CPG	Not classified	5	1
TNFRSF6	"transforming growth factor, beta receptor 1

"	"FAS, RP11-96L7.1, AAT5, ACVRLK4, ALK-5, ALK5, LDS1A, LDS2A, MSSE, SKR4, TGFR-1
"	10q23.31	Autoimmunie lymphoproliferative syndrome	Lymphoma 	autosomal dominant	"90,750,414"	"90,775,542"	7540117	134637	Rahman 114 CPG	Not classified	0	0
TP53	tumor protein p53	LFS1	17p13.1	Li-Fraumeni syndrome	"Breast cancer
Sarcoma
Adrenocortical carcinoma
Astrocytoma

 "	autosomal dominant	"7,565,097"	"7,590,856"	1978757	191170	Rahman 114 CPG	Tumor Suppressor Gene	3	10
TRIM37 	"tripartite motif containing 37

"	"MUL, POB1, TEF3
"	17q22	Mulibrey-nanism	Wilms tumor 	autosomal recessive 	"57,059,999"	"57,184,282"	10888877	605073	Rahman 114 CPG	Not classified	0	0
TSC1	tuberous sclerosis 1	"LAM, hamartin"	9q34 	Tuberous sclerosis 1	"Renal cell cancer, angiomyolipoma
Subependymal giant cell astrocytoma
Rhabdomyoma (cardiac)
"	autosomal dominant	"135,766,735"	"135,820,020"	9242607	605284	Rahman 114 CPG	Tumor Suppressor Gene	3	0
TSC2	tuberous sclerosis 2	"TSC4, tuberin"	16p13.3 	Tuberous sclerosis 2	"Renal cell cancer, angiomyolipoma
Subependymal giant cell astrocytoma
Rhabdomyoma (cardiac)
"	autosomal dominant	"2,097,466"	"2,138,716"	8269512	191092	Rahman 114 CPG	Tumor Suppressor Gene	2	0
UROD	"uroporphyrinogen decarboxylase

"	"RP11-69J16.2, PCT, UPD
"	1p34.1	Porphyria (cutanea tarda)	hepatocellular carcinoma	"autosomal recessive 
autosomal dominant "	"45,477,819"	"45,481,247"	3775362	613521	Rahman 114 CPG	Not classified	4	3
VHL	"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase"	VHL1	3p25	Von Hippel-Lindau syndrome	"Renal cell cancer
Pheochromocytoma
Neuroendocrine tumor (pancreas)
Hemangioblastoma (central nervous system, retina)"	autosomal dominant	"10,182,692"	"10,193,904"	8493574	608537	Rahman 114 CPG	Tumor Suppressor Gene	1	11
WAS	Wiskott-Aldrich syndrome	"IMD2, SCNX, THC, THC1, WASP"	Xp11.23	"Wiskott-Aldrich syndrome
WAS-related syndrome"	Lymphoma	X-linked recessive	"48,534,985"	"48,549,818"	8069912	300392	Rahman 114 CPG	Not classified	0	0
WRN	"Werner syndrome, RecQ helicase-like"	"RECQ3, RECQL2"	8p12	Werner syndrome	"Sarcoma
Melanoma
Thyroid cancer"	autosomal recessive 	"30,891,317"	"31,031,285"	8602509	604611	Rahman 114 CPG	Tumor Suppressor Gene	0	5
WT1	Wilms tumor 1	"AWT1, EWS-WT1, GUD, NPHS4, WAGR, WIT-2, WT33"	11p13	"WAGR syndrome
Denys-Drash syndrome
Frasier syndrome  "	"Wilms tumor
Gonadoblastoma"	autosomal dominant	"32,409,321"	"32,457,176"	1673293	607102	Rahman 114 CPG	Tumor Suppressor Gene	0	0
XPA	"xeroderma pigmentosum, complementation group A"	"XP1, XPAC"	9q22.3	Xeroderma pigmentosum (A) 	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"100,437,191"	"100,459,639"	2234061	611153	Rahman 114 CPG	Tumor Suppressor Gene	0	1
XPC	"xeroderma pigmentosum, complementation group C"	"RAD4, XPCC"	3p25	Xeroderma pigmentosum (C) 	"Basal cell carcinoma
Squamous cell carcinoma
Melanoma"	autosomal recessive 	"14,186,647"	"14,220,283"	8298653	613208	Rahman 114 CPG	Tumor Suppressor Gene	0	2
CTR9	PROTEIN 1	SH2BP1	11p15.4?		Wilm's tumor	autosomal dominant	"10,750,986"	"10,779,754"	25099282	609366	Reference (see PMID)	Not classified	2	0
ETV6	ETS VARIANT GENE 6		12p13.2?	familial thrombocytopenia and hematologic malignancy	pediatric ALL	autosomal dominant	"11,649,853"	"11,895,401?"	25807284; 26102509; 26522332	600618	Reference (see PMID)	Oncogene	0	0
FANCM	FANCM?GENE		14q21.2?? ??		triple negative breast cancer	autosomal dominant	"45,135,932"	"45,200,889"	25288723	609644	Reference (see PMID)	Tumor Suppressor Gene	16	0
JMJD1C	JUMONJI DOMAIN-CONTAINING PROTEIN 1C		10q21.3?		intracranial germ cell tumors	autosomal dominant		"63,167,221"	24896186	604503	Reference (see PMID)	Not classified	1	0
MITF	microphthalmia-associated transcription factor?		?3p13?		familial melanoma	autosomal dominant	"69,739,434"	"69,968,336"	22080950; 22080950 	156845	Reference (see PMID)	Oncogene	0	2
NTHL1	ENDONUCLEASE III-LIKE 1	"NTH1, OCTS3"	16p13.3?		"colon adenocarcinoma, bladder carcinoma, meningioma, basal cell carcinoma, colorectal adenomas, head and neck squamous cell carcinoma-based on one woman case report"	autosomal recessive	"2,039,814"	"2,047,865?"	26559593	602656	Reference (see PMID)	Not classified	0	0
PAX5	PAIRED BOX GENE 5		9p13.2		B-ALL	autosomal dominant	"36,833,274"	"37,035,318"	24013638	167414	Reference (see PMID)	Oncogene	1	0
POT1	PROTECTION OF TELOMERES 1		7q31.33?		melanoma	autosomal dominant	"124,822,385"	"124,929,982"	24686849	606478	Reference (see PMID)	Not classified	12	0
PRDM9	PR DOMAIN-CONTAINING PROTEIN 9		5p14.2?		childhood leukemia (B-ALL)	autosomal dominant	"23,507,614"	"23,528,596"	23222848; 24754746	609760	Reference (see PMID)	Not classified	12	0
RECQL	RECQ PROTEIN-LIKE		12p12.1?		breast cancer	autosomal dominant	"21,468,909"	"21,501,668"	25915596	600537	Reference (see PMID)	Not classified	19	0
SPRTN	SprT-LIKE N-TERMINAL DOMAIN PROTEIN		1q42.2?		hepatocellular carcinoma	autosomal recessive	"231,337,935"	"231,370,550?"	25261934	616086	Reference (see PMID)	Not classified	0	0
ERCC1	"EXCISION REPAIR, COMPLEMENTING DEFECTIVE, IN CHINESE HAMSTER, 1"	UV20	19q13.32??	Cerebrooculofacioskeletal syndrome 4		autosomal recessive	"45,407,332"	"45,478,819"	26580448	126380	St. Jude 29 list NEJM paper	Tumor Suppressor Gene	0	0
FANCI	FANCI?GENE		15q26.1?	"Fanconi anemia, complementation group I"		autosomal recessive	"89,243,947"	"89,317,130"	26580448; 28687356; 28961279	611360	St. Jude 29 list NEJM paper	Tumor Suppressor Gene	0	2
FANCL	FANCL?GENE	PHF9; FAAP43	2p16.1?	"Fanconi anemia, complementation group L"		autosomal recessive	"58,159,242"	"58,241,680?"	26580448; 29335925; 28678401	608111	St. Jude 29 list NEJM paper	Tumor Suppressor Gene	0	0
NHP2	"NUCLEOLAR PROTEIN FAMILY A, MEMBER 2"		5q35.3?	"Dyskeratosis congenita, autosomal recessive 2"		autosomal recessive	"178,149,462"	"178,153,959"	26580448; 21209122	606470	St. Jude 29 list NEJM paper	Not classified	0	0
NOP10	"NUCLEOLAR PROTEIN FAMILY A, MEMBER 3"		15q14???	"Dyskeratosis congenita, autosomal recessive 1"		autosomal recessive	"34,341,715"	"34,343,160?"	26580448; 21209122	606471	St. Jude 29 list NEJM paper	Not classified	0	0
SH2B3	SH2B ADAPTOR PROTEIN 3		12q24.12?			autosomal recessive	"111,405,107"	"111,451,623"	26580448; 29212164	605093	St. Jude 29 list NEJM paper	Not classified	0	1
BRAF	V-RAF MURINE SARCOMA VIRAL ONCOGENE HOMOLOG B1	"BRAF1, RAFB1"	7q34?	"RASopathy (Cardiofaciocutaneous Syndrome, Noonan Syndrome 7, and LEOPARD Syndrome 3)"		autosomal dominant	"140,715,950"	"140,924,763"	26580448	164757	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
CDKN1C	CYCLIN-DEPENDENT KINASE INHIBITOR 1C		11p15.4??	Beckwith-Wiedemann Syndrome	embryonal tumors	autosomal dominant	"2,883,217"	"2,885,815?"	26580448; 10424811	600856	St. Jude 60 Figure 2 NEJM paper	Not classified	0	0
EPCAM	EPITHELIAL CELLULAR ADHESION MOLECULE	"TACSTD1, M4S1, GA733-2"	2p21?	"Colorectal cancer, hereditary nonpolyposis, type 8"	Hereditary Nonpolyposis Colorectal Cancer	autosomal dominant	"47,369,147"	"47,387,027"	26580448; 29237405	185535	St. Jude 60 Figure 2 NEJM paper	Not classified	3	0
KRAS	V-KI-RAS2 KIRSTEN RAT SARCOMA VIRAL ONCOGENE HOMOLOG		12p12.1??	"RASopathy (Cardiofaciocutaneous syndrome 2, Noonan syndrome 3, RAS-associated autoimmune leukoproliferative disorder, Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic)"		autosomal dominant	"25,204,788"	"25,250,930"	26580448; 25808193	190070	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
MAP2K1	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1	"PRKMK1, MKK1, MAPKK1, MEK1"	15q22.31??	RASopathy (Cardiofaciocutaneous syndrome 3)		autosomal dominant	"66,386,872"	"66,491,543"	26580448; 25899310	176872	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
MAP2K2	MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2	"PRKMK2, MKK2, MAPKK2, MEK2"	19p13.3???	RASopathy (Cardiofaciocutaneous syndrome 4)		autosomal dominant	"4,090,320"	"4,124,183"	26580448; MAP2K2	601263	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
NRAS	NEUROBLASTOMA RAS VIRAL ONCOGENE HOMOLOG	NRAS1	1p13.2	"RASopathy (RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic; Epidermal nevus, somatic; Melanocytic nevus syndrome, congenital, somatic; Neurocutaneous melanosis, somatic; Noonan syndrome 6; Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic)"		autosomal dominant	"114,704,463"	"114,716,893"	26580448; 28594414	164790	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
RAF1	V-RAF-1 MURINE LEUKEMIA VIRAL ONCOGENE HOMOLOG 1	CRAF	3p25.2??	"RASopathy (LEOPARD syndrome 2, Noonan syndrome 5)"		autosomal dominant	"12,583,600"	"12,664,200?"	26580448; 27038324 	164760	St. Jude 60 Figure 2 NEJM paper	Oncogene	0	0
SHOC2	"SUPPRESSOR OF CLEAR, C. ELEGANS, HOMOLOG OF"	SUR8	10q25.2	RASopathy (Noonan-like syndrome with loose anagen hair)		autosomal dominant	"110,919,542"	"111,013,666?"	26580448; 27466182	602775	St. Jude 60 Figure 2 NEJM paper	Not classified	0	0
